Kimia Berbasis Eksperimen Kelas XII,Text,EDISI REVISI,978-602-257-396-8,PT Tiga Serangkai Pustaka Mandiri,2016,Kimia,,,Indonesia,Solo,NONE,,,,<H.A. Sholeh Dimyathi><Feisal Ghozali>,,<11300><11301><11302><11303><11304><11305><11306><11307><11308><11309><11310><11311><11312><11313><11314><11315><11316><11317><11318><11319><11320><11321><11322><11323><11324><11325><11326><11327><11328><11329><11330><11331><11332><11333><11334><11335><11336><11337><11338><11339><11340><11341><11342><11343><11344><11345><11346><11347><11348><11349><11350><11351><11352><11353><11354><11355><11356><11357><11358><11359><11360><11361><11362><11363><11364><11365><11366><11367><11368><11369><11370><11371><11372><11373><11374><11375><11376><11377><11378><11379><11380><11381><11382><11383><11384><11385><11386><11387><11388><11389><11390><11391><11392><11393><11394><11395><11396><11397><11398><11399><11400><11401><11402><11403><11404><11405><11406><11407><11408><11409><11410><11411><11412><11413><11414><11415><11416><11417><11418><11419><11420><11421><11422><11423><11424><11425><11426><11427><11428><11429><11430><11431><11432><11433><11434><11435><11436><11437><11438><11439><11440><11441><11442><11443><11444><11445><11446><11447><11448><11449><11450><11451><11452><11453><11454><11455><11456><11457><11458><11459><11460><11461><11462><11463><11464><11465><11466><11467><11468><11469><11470><11471><11472><11473><11474><11475><11476><11477><11478><11479><11480><11481><11482><11483><11484><11485><11486><11487><11488><11489><11490><11491><11492><11493><11494><11495><11496><11497><11498><11499><11500><11501><11502><11503><11504><11505><11506><11507><11508><11509><11510><11511><11512><11513><11514><11515><11516><11517><11518><11519><11520><11521><11522><11523><11524><11525><11526><11527><11528><11529><11530><11531><11532><11533><11534><11535><11536><11537><11538><11539><11540><11541><11542><11543><11544><11545><11546><11547><11548><11549><11550><11551><11552><11553><11554><11555><11556><11557><11558><11559><11560><11561><11562><11563><11564><11565><11566><11567><11568><11569><11570><11571><11572>
Bahasa Indonesia Kelas XII,Text,EDISI REVISI 2018,978-602-427-098-8,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2018,Bahasa Indonesia,,,Indonesia,jakarta,NONE,,,,<Agus Budiman><Dewi Suryati Budiwati><Sukanta><Zakaria S><Soetedja>,,<11610><11609><11607><11605><11604><11603><11602><11601><11600><11599><11598><11597><11596><11595><11594><11593><11592><11591><11590><11589><11588><11587><11586><11585><11584><11583><11582><11581><11580><11579><11578><11577><11576><11575><11573><11574><11608><11606><11611><11612><11613><11614><11615><11616><11617><11618><11619><11620><11621><11622><11623><11624><11625><11626><11627><11628><11629><11630><11631><11632><11633><11634><11635><11636><11637><11638><11639><11640><11641><11642><11643><11644><11645><11646><11647><11648><11649><11650><11651><11652><11653><11654><11655><11656><11657><11658><11659><11660><11661><11662><11663><11664><11665><11666><11667><11668><11669><11670><11671><11672><11673><11674><11675><11676><11677><11678><11679><11680><11681><11682><11683><11684><11685><11686><11687><11688><11689><11690><11691><11692><11693><11694><11695><11696><11697><11698><11699><11700><11701><11702><11703><11704><11705><11706><11707><11708><11709><11710><11711><11712><11713><11714><11715><11716><11717><11718><11719><11720><11721><11722><11723><11724><11725><11726><11727><11728><11729><11730><11731><11732><11733><11734><11735><11736><11737><11738><11739><11740><11741><11742><11743><11744><11745><11746><11747><11748><11749><11750><11751><11752><11753><11754><11755><11756><11757><11758><11759><11760><11761><11762><11763><11764><11765><11766><11767><11768><11769><11770><11771><11772><11773><11774><11775><11776><11777><11778><11779><11780><11781><11782><11783><11784><11785><11786><11787><11788><11789><11790><11791><11792><11793><11794><11795><11796><11797><11798><11799><11800><11801><11802><11803><11804><11805><11806><11807><11808><11809><11810><11811><11812><11813><11814><11815><11816><11817><11818><11819><11820><11821><11822><11823><11824><11825><11826><11827><11828><11829><11830><11831><11832><11833><11834><11835><11836><11837><11838><11839><11840><11841><11842><11843><11844><11845>
Pendidikan Pancasila dan Kewarganegaraan Kelas XII,Text,EDISI REVISI 2018,978-602-427-090-2,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2018,PPKn,,,Indonesia,jakarta,NONE,,,,<Sri Pujiyanto><Rejeki Siti Ferniah>,,<21385><21386><21387><21388><21389><21390><21391><21392><21393><21394><21395><21396><21397><21398><21399><21400><21401><21402><21403><21404><21405><21406><21407><21408><21409><21410><21411><21412><21413><21414><21415><21416><21417><21418><21419><21420><21421><21422><21423><21424><21425><21426>
Bahasa Inggris Kelas XII,Text,EDISI REVISI 2018,978-602-427-106-0,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2018,Bahasa Inggris,,,Indonesia,jakarta,NONE,,,,"<Drs. Singgih Santosa, M.M.><Budi Sutedjo, S.Kom., M.M.>",,<21381><21382><21383><21384>
Sosiologi Kelas XII,Text,KURIKULUM 2013,978-979-040-344-4,PT Wangsa Jatra Lestari,2014,Sosiologi,,,Indonesia,Solo,NONE,,,,<Herimanto><Eko Targiyatmi>,,<21348><21349><21350><21351><21352><21353><21354><21355><21356><21357><21358><21359><21360><21361><21362><21363><21364><21365><21366><21367><21368><21369><21370><21371><21372><21373><21374><21375><21376><21377><21378><21379><21380>
Sosiologi Kelas XII EDISI REVISI,Text,EDISI REVISI 2016,978-979-040-344-4,PT Wangsa Jatra Lestari,2016,Sosiologi,,,Indonesia,Solo,NONE,,,,<Ira Wijayanti><Nitya><Jwalita>,,<21108><21109><21110><21111><21112><21113><21114><21115><21116><21117><21118><21119><21120><21121><21122><21123><21124><21125><21126><21127><21128><21129><21130><21131><21132><21133><21134><21135><21136><21137><21138><21139><21140><21141><21142><21143><21144><21145><21146><21147><21148><21149><21150><21151><21152><21153><21154><21155><21156><21157><21158><21159><21160><21161><21162><21163><21164><21165><21166><21167><21168><21169><21170><21171><21172><21173><21174><21175><21176><21177><21178><21179><21180><21181><21182><21183><21184><21185><21186><21187><21188><21189><21190><21191><21192><21193><21194><21195><21196><21197><21198><21199><21200><21201><21202><21203><21204><21205><21206><21207><21208><21209><21210><21211><21212><21213><21214><21215><21216><21217><21218><21219><21220><21221><21222><21223><21224><21225><21226><21227><21228><21229><21230><21231><21232><21233><21234><21235><21236><21237><21238><21239><21240><21241><21242><21243><21244><21245><21246><21247><21248><21249><21250><21251><21252><21253><21254><21255><21256><21257><21258><21259><21260><21261><21262><21263><21264><21265><21266><21267><21268><21269><21270><21271><21272><21273><21274><21275><21276><21277><21278><21279><21280><21281><21282><21283><21284><21285><21286><21287><21288><21289><21290><21291><21292><21293><21294><21295><21296><21297><21298><21299><21300><21301><21302><21303><21304><21305><21306><21307><21308><21309><21310><21311><21312><21313><21314><21315><21316><21317><21318><21319><21320><21321><21322><21323><21324><21325><21326><21327><21328><21329><21330><21331><21332><21333><21334><21335><21336><21337><21338><21339><21340><21341><21342><21343><21344><21345><21346><21347>
Prakarya dan Kewirausahaan Kelas XII,Text,EDISI REVISI 2018,978-602-427-153-4,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2018,PKWU,,,Indonesia,jakarta,NONE,,,,<Abdur Rahman As\'ari><Tjang Daniel Chandra><Ipung Yuwono><Lathiful Anwar><Syaiful Hamzah Nasution><Dahliatul Hasanah><Makbul Muksar><Vita Kusuma Sari><Nur Atikah>,,<12520><12521><12522><12523><12524><12525><12526><12527><12528><12529><12530><12531><12532><12533><12534><12535><12536><12537><12538><12539><12540><12541><12542><12543><12544><12545><12546><12547><12548><12549><12550><12551><12552><12553><12554><12555><12556><12557><12558><12559><12560><12561><12562><12563><12564><12565><12566><12567><12568><12569><12570><12571><12572><12573><12574><12575><12576><12577><12578><12579><12580><12581><12582><12583><12584><12585><12586><12587><12588><12589><12590><12591><12592><12593><12594><12595><12596><12597><12598><12599><12600><12601><12602><12603><12604><12605><12606><12607><12608><12609><12610><12611><12612><12613><12614><12615><12616><12617><12618><12619><12620><12621><12622><12623><12624><12625><12626><12627><12628><12629><12630><12631><12632><12633><12634><12635><12636><12637><12638><12639><12640><12641><12642><12643><12644><12645><12646><12647><12648><12649><12650><12651><12652><12653><12654><12655><12656><12657><12658><12659><12660><12661><12662><12663><12664><12665><12666><12667><12668><12669><12670><12671><12672><12673><12674><12675><12676><12677><12678><12679><12680><12681><12682><12683><12684><12685><12686><12687><12688><20988><20989><20990><20991><20992><20993><20994><20995><20996><20997><20998><20999><21000><21001><21002><21003><21004><21005><21006><21007><21008><21009><21010><21011><21012><21013><21014><21015><21016><21017><21018><21019><21020><21021><21022><21023><21024><21025><21026><21027><21028><21029><21030><21031><21032><21033><21034><21035><21036><21037><21038><21039><21040><21041><21042><21043><21044><21045><21046><21047><21048><21049><21050><21051><21052><21053><21054><21055><21056><21057><21058><21059><21060><21061><21062><21063><21064><21065><21066><21067><21068><21069><21070><21071><21072><21073><21074><21075><21076><21077><21078><21079><21080><21081><21082><21083><21084><21085><21086><21087><21088><21089><21090><21091><21092><21093><21094><21095><21096><21097><21098><21099><21100><21101><21102><21103><21104><21105><21106><21107><21667>
Sejarah Indonesia Kelas XII,Text,EDISI REVISI 2018,978-602-427-122-0,"Pusat Kurikulum dan Perbukuan, Balitbang, Kemendikbud",2018,Sejarah Indonesia,,,Indonesia,jakarta,NONE,,,,<Sutarno><Sunarto><Sudarno>,,<20926><20927><20928><20929><20930><20931><20932><20933><20934><20935><20936><20937><20938><20939><20940><20941><20942><20943><20944><20945><20946><20947><20948><20949><20950><20951><20952><20953><20954><20955><20956><20957><20958><20959><20960><20961><20962><20963><20964><20965><20966><20967><20968><20969><20970><20971><20972><20973><20974><20975><20976><20977><20978><20979><20980><20981><20982><20983><20984><20985><20986><20987>
"Pendidikan Jasmani, Olahraga, dan Kesehatan Kelas XII",Text,EDISI REVISI 2018,978-602-427-130-5,,2018,PJOK,,,Indonesia,jakarta,NONE,,,,<Sentot Budi Rahardjo><Ispriyanto>,,<20773><20774><20775><20776><20777><20778><20779><20780><20781><20782><20783><20784><20785><20786><20787><20788><20789><20790><20791><20792><20793><20794><20795><20796><20797><20798><20799><20800><20801><20802><20803><20804><20805><20806><20807><20808><20809><20810><20811><20812><20813><20814><20815><20816><20817><20818><20819><20820><20821><20822><20823><20824><20825><20826><20827><20828><20829><20830><20831><20832><20833><20834><20835><20836><20837><20838><20839><20840><20841><20842><20843><20844><20845><20846><20847><20848><20849><20850><20851><20852><20853><20854><20855><20856><20857><20858><20859><20860><20861><20862><20863><20864><20865><20866><20867><20868><20869><20870><20871><20872><20873><20874><20875><20876><20877><20878><20879><20880><20881><20882><20883><20884><20885><20886><20887><20888><20889><20890><20891><20892><20893><20894><20895><20896><20897><20898><20899><20900><20901><20902><20903><20904><20905><20906><20907><20908><20909><20910><20911><20912><20913><20914><20915><20916><20917><20918><20919><20920><20921><20922><20923><20924><20925><21668><21669><21670><21671><21672><21673><21674><21675><21676><21677><21678><21679><21680><21681><21682><21683><21684><21685><21686><21687><21688><21689><21690><21691><21692><21693><21694><21695><21696><21697><21698><21699><21700><21701><21702><21703><21704><21705><21706><21707><21708><21709><21710><21711><21712><21713><21714><21715><21716><21717><21718><21719><21720><21721><21722><21723><21724><21725><21726><21727><21728><21729><21730><21731>
Demensi Manajemen Pendidikan,Text,,,,,,,,Indonesia,,NONE,,,,,,
Meringkas Mata Pelajaran,Text,,978-979-099-332-7,Esensi Erlangga Group,2011,,,,Indonesia,jakarta,NONE,,,,<Rick Wormeli>,,<30532>
Memahami Anak Berkebutuhan Khusus,Text,,978-602-241-531-2,Esensi Erlangga Group,2014,,,,Indonesia,jakarta,NONE,,,,<Jenny Thompson>,,<30528><30529><30530>
Manajemen Berbasis Sekolah Menuju Sekolah Berprestasi,Text,,978-602-7596-44-3,Esensi Erlangga Group,2013,,,,Indonesia,jakarta,NONE,,,,"<Drs. Ikbal Barlian, M.pd>",,<30527>
9 Karakter Guru Efektif,Text,,978-602-6847-06-5,Esensi Erlangga Group,2014,,,,Indonesia,jakarta,NONE,,,,<Jacquie Turnbull>,,<30524><30525><30526>
Betapa Mudah Menyusun Tulisan Ilmiah,Text,,978-602-6847-16-4,Esensi Erlangga Group,2016,,,,Indonesia,jakarta,NONE,,,,"<Prof. Suyanto, Ph.D.><Drs.Asep Jihad, M.Pd>",,<30522><30523>
Penilaian Hasil Belajar,Text,,978-602-6847-53-9,Esensi Erlangga Group,2017,,,,Indonesia,jakarta,NONE,,,,<Pipit Gantini><Dodo Suhendar>,,<30521>
Sebuah Kesaksian Narkoba Sayonara,Text,,979-781-678-8,Esensi Erlangga Group,2006,Referensi,,,Indonesia,jakarta,NONE,,,,<Fanny Jonathans Poyk>,,<30519>
Berapakah Berat Bumi?,Text,,0-7645-6519-2,PT Intan Sejati,2003,Referensi,,,Indonesia,Bandung,NONE,,,,<Marshall Brain>,,<30518>
Kolesterol,Text,,978-979-015-337-0,Penerbit Erlangga,2007,Referensi,,,Indonesia,jakarta,NONE,,,,"<Dr. Eleanor Bull, Dr. Jonathan Morrell>",,<30516><30517>
20 Quotes Rasulullah,Text,Cetakan Pertama: Mei 2016,978-602-366-153-4,Tiga Ananda Creative Imprint of Tiga Serangkai,2016,,,,Indonesia,Solo,NONE,,20_Quotes_Rasulullah.jpg.jpg,,<Tethy Ezokanzo><Gadis Febriani>,,<30514><30515>
Menyusun PTK itu Gampang,Text,,978-602-7596-43-6,Esensi Erlangga Group,2013,Referensi,,,Indonesia,jakarta,NONE,,,,<Ameliasari T. Kesuma>,,<30505><30506><30507><30508><30509><30510><30511><30512><30513>
Hijabpreneur,Text,,978-602-6328-18-2,PT Tiga Serangkai Putaka Mandiri,2016,Referensi,,,Indonesia,Solo,NONE,,,,<Silka Mitrasari>,,<30503><30504>
Menyehatkan Indonesia dengan Sampah,Text,Cetakan Pertama: September 2014,978-602-9212-99-0,Metagraf Creative Imprint of Tiga Serangai,2014,,,,Indonesia,Solo,NONE,,Menyehatkan_Indonesia_dengan_Sampah.JPG.JPG,,<Fachmy Casofa>,,<30501><30502>
Hijabed Woman's Creativity,Text,Cetakan Pertama: November 2017,978-602-6328-42-7,Metagraf Creative Imprint of Tiga Serangai,2017,,,,Indonesia,Solo,NONE,,Hijabed_Woman's_Creativity.jpg.jpg,,<Riza Sativianti><Syarifah Tika Irmasari>,,<10213><10214><30500>
100 Ide Kreatif Untuk Warna,Text,,979-781-501-3,Esensi Erlangga Group,2006,Referensi,,,Indonesia,jakarta,NONE,,,,<Chefira Inda>,,<30499>
Fotografer Hijabed Woman Creativity,Text,,978-602-6328-45-8,PT. Tiga Serangkai Pustaka Mandiri,2017,Referensi,,,Indonesia,Solo,NONE,,,,<Fatma Risma Sari>,,<30498>
Pendidikan Psikologi Membantu Siswa Tumbuh dan Berkembang,Text,"keenam, jilid pertama",978-979-075-563-5,Penerbit Erlangga,2008,Referensi,,,Indonesia,jakarta,NONE,,,,<Jeanne Ellis Ormrod>,,<30497>
"Naava (Bisnis Online, Bisnis Kekinian)",Text,1,,CV. Percetakan natan\'s,2018,Referensi,,,Indonesia,"kaliurang, Sleman Yogyakarta",NONE,,,,<Pricillia A.W>,,<30496>
Kreativitas dalam Public Relation,Text,kedua,979-741-173-7,Penerbit Erlangga,2001,Referensi,,,Indonesia,jakarta,NONE,,,,<Andy Green>,,<30495>
Pedoman Pendidikan Non Perkuliahan Program Sarjana Magang Kerja dan Skripsi Fakultas Pertanian Universitas Brawijaya Tahun Akademik 2014/2015 dan 2015/2016,Text,,,Universitas Brawijaya,2015,Pertanian,,,Indonesia,Malang,NONE,,,,"<Prof. Dr. Ir Kuswanto, MS DKK>",,<30493><30494>
Pendidikan Seks Bagi Remaja dari Prinsip Ke Praktek,Text,,979-98066-1-x,Alenia Press,2006,Referensi,,,Indonesia,Yogyakarta,NONE,,,,"<Michail Reiss, J. Mark Halstead>",,<30492>
Habibie Tak Boleh Lelah Dan Kalah,Text,,978-602-9212-90-7,Metagraf Creative Imprint of Tiga Serangai,2014,Inspirasi,,,Indonesia,Solo,NONE,,,,<Fachmy Casofa>,,<10649><30485>
Pendidikan Anti Korupsi Aku Calon Pemimpin,Text,,978-979-18455-3-3,Komisi Peberanasan Korupsi (KPK),2008,,,,Indonesia,jakarta selatan,NONE,,,,<Rustika Tamrin>,,<30491>
Mengenal Tumbuh-Tumbuhan Berhasiat Obat,Text,,978-979-8844-62-61,CV.Amalia,2015,Kesehatan,,,Indonesia,jakarta,NONE,,,,<Bung Adriansyah>,,<30490>
Ide Jeans nius,Text,,978-979-015-445-2,Penerbit Erlangga,2006,,,,Indonesia,jakarta,NONE,,,,<Bernice Lum>,,<30489>
Fisiologi Perilaku Edisi Kesebelas Jilid 1,Text,,978-602-298-009-4,Penerbit Erlangga,2015,,,,Indonesia,jakarta,NONE,,,,<Neil R. Carlson>,,<30488>
"Tes PsikologirnSejarah, Prinsip, Dan AplikasirnEdisi Keenam Jilid 1",Text,Edisi Keenam 2013,978-602-241-373-8,Penerbit Erlangga,2013,,,,Indonesia,jakarta,NONE,,"Tes_Psikologi_Sejarah,_Prinsip,_dan_Aplikasi.jpg.jpg",,<Robert J. Gregory>,,<30487>
Gajah Mada Sumpah Di Manguntur,Text,,978-979-084-836-8,Penerbit Tiga Serangkai,2017,Novel,,,Indonesia,Solo,NONE,,,,<Langit Kresna Hariadi>,,<10637><30486>
Matematika Peminatan XII,Text,,978-602-298-794-9,Penerbit Erlangga,2016,,,510.1 SUK M01/137,Indonesia,jakarta,510,,,,"<Sukino, M.Sc.>",,<30313><30314><30315><30316><30317><30318><30319><30320><30321><30322><30323><30324><30325><30326><30327><30328><30329><30330><30331><30332><30333><30334><30335><30336><30337><30338><30339><30340><30341><30342><30343><30344><30345><30346><30347><30348><30349><30350><30351><30352><30353><30354><30355><30356><30357><30358><30359><30360><30361><30362><30363><30364><30365><30366><30367><30368><30369><30370><30371><30372><30373><30374><30375><30376><30377><30378><30379><30380><30381><30382><30383><30384><30385><30386><30387><30388><30389><30390><30391><30392><30393><30394><30395><30396><30397><30398><30399><30400><30401><30402><30403><30404><30405><30406><30407><30408><30409><30410><30411><30412><30413><30414><30415><30416><30417><30418><30419><30420><30421><30422><30423><30424><30425><30426><30427><30428><30429><30430><30431><30432><30433><30434><30435><30436><30437><30438><30439><30440><30441><30442><30443><30444><30445><30446><30447><30448><30449>
Seri Aku Ingin Menjadi : Arsitek,Text,,978-602-6847-40-9,Esensi Erlangga Group,2017,Referensi,,,Indonesia,jakarta,NONE,,,,<Dewi>,,<30483><30484>
Seri Aku Menjadi : Marinir,Text,,978-602-6847-43-0,Esensi Erlangga Group,2017,,,,Indonesia,jakarta,NONE,,,,<Lusiana Rumintang>,,<30481><30482>
Seri Aku Ingin Menjadi : TNI AD,Text,,978-602-6847-42-3,Esensi Erlangga Group,2017,Referensi,,,Indonesia,jakarta,NONE,,,,<Irebella>,,<30479><30480>
Seri Aku Ingin Menjadi : Penulis,Text,,978-602-6847-37-9,Esensi Erlangga Group,2017,Referensi,,,Indonesia,jakarta,NONE,,,,<Dina Alfiyanti>,,<30477><30478>
Seri Aku Ingin Menjadi : Pramugari,Text,,978-602-6847-41-6,Esensi Erlangga Group,2017,Referensi,Seri pengenalan profesi,,Indonesia,jakarta,NONE,,,,<Rizki>,,<30469><30470>
Seri Aku Ingin Menjadi : Apoteker,Text,,978-602-6847-38-6,Esensi Erlangga Group,2017,Referensi,,,Indonesia,jakarta,NONE,,,,<Niquen Hananti>,,<30471><30472>
Seri Aku Ingin Menjadi : Pengacara,Text,,978-602-6847-39-3,Esensi Erlangga Group,2017,Referensi,,,Indonesia,jakarta,NONE,,,,<Lusiana Rumintang>,,<30473><30474>
Seri Aku Ingin Menjadi : TNI AU,Text,,978-602-6847-44-7,Esensi Erlangga Group,2017,Referensi,,,Indonesia,jakarta,NONE,,,,<Irebella>,,<30475><30476>
Aku Ingin Menjadi Pemadam Kebakaran,Text,,978-602-7596-59-7,Esensi Erlangga Group,2014,Referensi,pengenalan profesi,,Indonesia,jakarta,NONE,,,,<Dina Alfiyanti>,,<30467><30468>
Seri Aku Ingin Menjadi Sutradara,Text,,978-602-6847-36-2,Esensi Erlangga Group,2017,Referensi,,,Indonesia,jakarta,NONE,,,,<Dina Alfiyanti>,,<30465><30466>
Prinsip-Prinsip Ekonomi ed. 8 jil. 2,Text,edisi 8 jilid 2,978-979-033-400-7,Penerbit Erlangga,2007,,,,Indonesia,,NONE,,,,"<Karl e. Case , Ray C. Fair>",,<30463><30464>
Referensi Biologi lengkap Evolusi (Untuk pelajar dan Mahasiswa),Text,,978-602-434-191-6,Penerbit Erlangga,2014,Biologi,,,Indonesia,jakarta,NONE,,,,"<Ernst Klett Verlag GmbH, Stuttgart><Damaring Tyas Wulandari, S.Si>",,<30462>
Musim Baru Ketika Kisah Tragis Berganti dengan Kebahagian,Text,,008-813-003-0,Penerbit Erlangga,2012,Novel,,,Indonesia,jakarta,NONE,,,,<Roidah>,,<10504><10510><10511><10512><10513><30460><30461>
Rindu Tanah Jeruk: Palestina!,Text,,978-602-70319-4-4,Emir Cakrawala Islam,2014,Novel,,,Indonesia,jakarta,NONE,,,,<M. Thoha Anwar>,,<30458><30459>
Eva: Ustadzah Cinta Ketiban Cinta,Text,,978-602-241-523-7,Penerbit Erlangga,2013,Novel,,,Indonesia,jakarta,NONE,,,,<Aci TM>,,<10614><10615><30457>
Sekolah Adiwiyata (Panduan Implementasi Adiwiyata Mandiri di sekolah),Text,,978-602-6847-70-6,Esensi Erlangga Group,2018,Referensi,,,Indonesia,jakarta,NONE,,,,"<Drs. Endang Haris, Drs. H. M. Abas, Yedi Wardiana, M.Pd>",,<30455><30456>
Kunang-Kunang dan Bidadari,Text,,978-979-033-266-9,Penerbit Erlangga,2008,Referensi,,,Indonesia,jakarta,NONE,,,,<FLP Jepang>,,<30454>
Berkelana ke Timur Tengah,Text,,978-979-033-838-8,Penerbit Erlangga,2009,Referensi,,,Indonesia,jakarta,NONE,,,,<Dede Permana Nugraha>,,<30452><30453>
Biologi Peminatan Kelas XII,Text,,978-602-434-213-5,Penerbit Erlangga,2017,,,570.01 PRA B01/137,Indonesia,jakarta,570,,,,<D. A. Pratiwi><Sri Maryati><Suharno><Bambang S.>,,<10899><10900><10901><10902><10903><10904><10905><10906><10907><10908><10909><10910><10911><10912><10913><10914><10915><10916><10917><10918><10919><10920><10921><10922><10923><10924><10925><10926><10927><10928><10929><10930><10931><10932><10933><10934><10935><10936><10937><10938><10939><10940><10941><10942><10943><10944><10945><10946><10947><10948><10949><10950><10951><10952><10953><10954><10955><10956><10957><10958><10959><10960><10961><10962><10963><10964><10965><10966><10967><10968><10969><10970><10971><10972><10973><10974><10975><10976><10977><10978><10979><10980><10981><10982><10983><10984><10985><10986><10987><10988><10989><10990><10991><10992><10993><10994><10995><10996><10997><10998><10999><30002><30003><30004><30005><30006><30007><30008><30009><30010><30011><30012><30013><30014><30015><30016><30017><30018><30019><30020><30021><30022><30023><30024><30025><30026><30027><30028><30029><30030><30031><30032><11033><30034><30035><30036><30037>
Kimia Peminatan kelas XII,Text,,978-602-434-299-9,Penerbit Erlangga,2016,,,540 PUR K01/137,Indonesia,jakarta,540,,,,<Michael Purba><Eti Sarwiyati>,,<30176><30177><30178><30179><30180><30181><30182><30183><30184><30185><30186><30187><30188><30189><30190><30191><30192><30193><30194><30195><30196><30197><30198><30199><30200><30201><30202><30203><30204><30205><30206><30207><30208><30209><30210><30211><30212><30213><30214><30215><30216><30217><30218><30219><30220><30221><30222><30223><30224><30225><30226><30227><30228><30229><30230><30231><30232><30233><30234><30235><30236><30237><30238><30239><30240><30241><30242><30243><30244><30245><30246><30247><30248><30249><30250><30251><30252><30253><30254><30255><30256><30257><30258><30259><30260><30261><30262><30263><30264><30265><30266><30267><30268><30269><30270><30271><30272><30273><30274><30275><30276><30277><30278><30279><30280><30281><30282><30283><30284><30285><30286><30287><30288><30289><30290><30291><30292><30293><30294><30295><30296><30297><30298><30299><30300><30301><30302><30303><30304><30305><30306><30307><30308><30309><30310><30311><30312>
Fisika Peminatan kelas XII,Text,,978-602-298-821-2,Penerbit Erlangga,2013,,,530 KAN F01/137,Indonesia,jakarta,530,,,,"<Ir. Marthen Kanginan, M.Sc.>",,<30038><30039><30040><30041><30042><30043><30044><30045><30046><30047><30048><30049><30050><30051><30052><30053><30054><30055><30056><30057><30058><30059><30060><30061><30062><30063><30064><30065><30066><30067><30068><30069><30070><30071><30072><30073><30074><30075><30076><30077><30078><30079><30080><30081><30082><30083><30084><30085><30086><30087><30088><30089><30090><30091><30092><30093><30094><30095><30096><30097><30098><30099><30100><30101><30102><30103><30104><30105><30106><30107><30108><30109><30110><30111><30112><30113><30114><30115><30116><30117><30118><30119><30120><30121><30122><30123><30124><30125><30126><30127><30128><30129><30130><30131><30132><30133><30134><30135><30136><30137><30138><30139><30140><30141><30142><30143><30144><30145><30146><30147><30148><30149><30150><30151><30153><30154><30155><30156><30157><30158><30159><30160><30161><30162><30163><30164><30165><30166><30167><30168><30169><30170><30171><30172><30173><30174><30175>
Asmara Di Atas Haram,Text,,978-979-099-835-3,Penerbit Erlangga,2012,Novel,,,Indonesia,jakarta,NONE,,,,<Zulkifli L. Muchdi>,,<30000><30001>
Geografi Kelas XII,Text,,978-602-298-897-7,Penerbit Erlangga,2016,,,910. 01 Sin G01/37,Indonesia,jakarta,NONE,,,,<Yasinto Sindhu P.>,,<10824><10825><10826><10827><10828><10829><10830><10831><10832><10833><10834><10835><10836><10837><10838><10839><10840><10841><10842><10843><10844><10845><10846><10847><10848><10849><10850><10851><10852><10853><10854><10855><10856><10857><10858><10859><10860>
Sosiologi Kelas XII,Text,,978-602-254-197-4,Penerbit Erlangga,2016,,,300.1 MAR S01/37,Indonesia,jakarta,300,,,,<Kun Maryanti><Juju Suryawati>,,<10787><10788><10789><10790><10791><10792><10793><10794><10795><10796><10797><10798><10799><10800><10801><10802><10803><10804><10805><10806><10807><10808><10809><10810><10811><10812><10813><10814><10815><10816><10817><10818><10819><10820><10821><10822><10823>
Ekonomi Kelas XII,Text,,978-602-254-177-6,Penerbit Erlangga,2016,,,330.01 ALA E01/37,Indonesia,jakarta,330,,,,<Alam S.>,,<10861><10862><10863><10864><10865><10866><10867><10868><10869><10870><10871><10872><10873><10874><10875><10876><10877><10878><10879><10880><10881><10882><10883><10884><10885><10886><10887><10888><10889><10890><10891><10892><10893><10894><10895><10896><10897>
"Menuju Sehat dan Cantik dengan Memanfaatkan Bahan Alami Go Healthy, Go Beautiful",Text,,978-602-6328-17-5,Metagraf Creative Imprint of Tiga Serangai,2016,Kesehatan,,,Indonesia,Solo,NONE,,,,<Winny Widyawati>,,<10653><10654><10898>
Pengantar Mateatika Ekonomi Edisi 13 Jilid 2,Text,,978-602-241-750-7,Penerbit Erlangga,2011,,,,Indonesia,jakarta,NONE,,,,"<Ernest F. Haeussler, Jr.><Richard S. Paul><Richard J. Wood>",,<10784><10785><10786>
Pengantar Matematika Ekonomi Edisi 13 Jiid 1,Text,,978-602-241-645,Penerbit Erlangga,2011,,,,Indonesia,jakarta,NONE,,,,"<Ernest F. Haeussler, Jr.><Richard S. Paul><Richard J. Wood>",,<10781><10782><10783>
Fisika Prinsip dan Aplikasi Edisi 7 Jilid 1,Text,,978-602-298-188-6,Penerbit Erlangga,2014,,,,Indonesia,jakarta,NONE,,,,<Douglas C.><Giancoli>,,<10778><10779><10780>
Statik Untuk Bisnis dan Ekonomi Edisi 11 Jilid 2,Text,,978-602-241-127-7,Penerbit Erlangga,2010,,,,Indonesia,jakarta,NONE,,,,<McClave Benson Sincich>,,<10775><10776><10777>
Statik Untuk Bisnis dan Ekonomi Edisi 11 Jilid 1,Text,,978-979-099-018-0,Penerbit Erlangga,2010,,,,Indonesia,jakarta,NONE,,,,<McClave Benson Sincich>,,<10772><10773><10774>
