"Pendidikan Jasmani, Olahraga, dan Kesehatan Kelas XII","Text","EDISI REVISI 2018","978-602-427-130-5","","2018","PJOK","","","Indonesia","jakarta","NONE","","","","<Suroto><Taufiq Hidayah>","","<12047><12048><12049><12050><12051><12052><12053><12054><12055><12056><12057><12058><12059><12060><12061><12062><12063><12064><12065><12066><12067><12068><12069><12070><12071><12072><12073><12074><12075><12076><12077><12078><12079><12080><12081><12082><12083><12084><12085><12086><12087><12088><12089><12090><12091><12092><12093><12094><12095><12096><12097><12098><12099><12100><12101><12102><12103><12104><12105><12106><12107><12108><12109><12110><12111><12112><12113><12114><12115><12116><12117><12118><12119><12120><12121><12122><12123><12124><12125><12126><12127><12128><12129><12130><12131><12132><12133><12134><12135><12136><12137><12138><12139><12140><12141><12142><12143><12144><12145><12146><12147><12148><12149><12150><12151><12152><12153><12154><12155><12156><12157><12158><12159><12160><12161><12162><12163><12164><12165><12166><12167><12168><12169><12170><12171><12172><12173><12174><12175><12176><12177><12178><12179><12180><12181><12182><12183><12184><12185><12186><12187><12188><12189><12190><12191><12192><12193><12195><12196><12197><12198><12199><12200><12201><12202><12203><12204><12205><12206><12207><12208><12209><12210><12211><12212><12213><12214><12215><12216><12217><12218><12219><12220><12221><12222><12223><12224><12225><12226><12227><12228><12229><12230><12231><12232><12233><12234><12235><12236><12237><12238><12239><12240><12241><12242><12243><12244><12245><12246><12247><12248><12249><12250><12251><12252><12253><12254><12255><12256><12257><12258><12259><12260><12261><12262><12263><12264><12265><12266><12267><12268><12269><12270><12271><12272><12273><12274><12275><12276><12277><12278><12279><12280><12281><12282><12283><12284><12285><12286><12287><12288><12289><12290><12291><12292><12293><12294><12295><12296><12297><12298><12299><12300><12301><12302><12303><21759><21760><21761><21762><21763><21764><21765><21766><21767><21768><21769><21770><21771><21772><21773><21774><21775><21776><21777><21778><21779><21780><21781><21782><21783><21784><21785><21786><21787><21788><21789><21790><21791><21792><21793><21794><21795>"
"Meringkas Mata Pelajaran","Text","","978-979-099-332-7","Esensi Erlangga Group","2011","","","","Indonesia","jakarta","NONE","","","","<Rick Wormeli>","","<30532>"
"Memahami Anak Berkebutuhan Khusus","Text","","978-602-241-531-2","Esensi Erlangga Group","2014","","","","Indonesia","jakarta","NONE","","","","<Jenny Thompson>","","<30528><30529><30530>"
"Manajemen Berbasis Sekolah Menuju Sekolah Berprestasi","Text","","978-602-7596-44-3","Esensi Erlangga Group","2013","","","","Indonesia","jakarta","NONE","","","","<Drs. Ikbal Barlian, M.pd>","","<30527>"
"9 Karakter Guru Efektif","Text","","978-602-6847-06-5","Esensi Erlangga Group","2014","","","","Indonesia","jakarta","NONE","","","","<Jacquie Turnbull>","","<30524><30525><30526>"
"Betapa Mudah Menyusun Tulisan Ilmiah","Text","","978-602-6847-16-4","Esensi Erlangga Group","2016","","","","Indonesia","jakarta","NONE","","","","<Prof. Suyanto, Ph.D.><Drs.Asep Jihad, M.Pd>","","<30522><30523>"
"Penilaian Hasil Belajar","Text","","978-602-6847-53-9","Esensi Erlangga Group","2017","","","","Indonesia","jakarta","NONE","","","","<Pipit Gantini><Dodo Suhendar>","","<30521>"
"Sebuah Kesaksian Narkoba Sayonara","Text","","979-781-678-8","Esensi Erlangga Group","2006","Referensi","","","Indonesia","jakarta","NONE","","","","<Fanny Jonathans Poyk>","","<30519>"
"Berapakah Berat Bumi?","Text","","0-7645-6519-2","PT Intan Sejati","2003","Referensi","","","Indonesia","Bandung","NONE","","","","<Marshall Brain>","","<30518>"
"Kolesterol","Text","","978-979-015-337-0","Penerbit Erlangga","2007","Referensi","","","Indonesia","jakarta","NONE","","","","<Dr. Eleanor Bull, Dr. Jonathan Morrell>","","<30516><30517>"
"20 Quotes Rasulullah","Text","Cetakan Pertama: Mei 2016","978-602-366-153-4","Tiga Ananda Creative Imprint of Tiga Serangkai","2016","","","","Indonesia","Solo","NONE","","20_Quotes_Rasulullah.jpg.jpg","","<Tethy Ezokanzo><Gadis Febriani>","","<30514><30515>"
"Menyusun PTK itu Gampang","Text","","978-602-7596-43-6","Esensi Erlangga Group","2013","Referensi","","","Indonesia","jakarta","NONE","","","","<Ameliasari T. Kesuma>","","<30505><30506><30507><30508><30509><30510><30511><30512><30513>"
"Hijabpreneur","Text","","978-602-6328-18-2","PT Tiga Serangkai Putaka Mandiri","2016","Referensi","","","Indonesia","Solo","NONE","","","","<Silka Mitrasari>","","<30503><30504>"
"Menyehatkan Indonesia dengan Sampah","Text","Cetakan Pertama: September 2014","978-602-9212-99-0","Metagraf Creative Imprint of Tiga Serangai","2014","","","","Indonesia","Solo","NONE","","Menyehatkan_Indonesia_dengan_Sampah.JPG.JPG","","<Fachmy Casofa>","","<30501><30502>"
"Hijabed Woman's Creativity","Text","Cetakan Pertama: November 2017","978-602-6328-42-7","Metagraf Creative Imprint of Tiga Serangai","2017","","","","Indonesia","Solo","NONE","","Hijabed_Woman's_Creativity.jpg.jpg","","<Riza Sativianti><Syarifah Tika Irmasari>","","<10213><10214><30500>"
"Naava (Bisnis Online, Bisnis Kekinian)","Text","1","","CV. Percetakan natan\'s","2018","Referensi","","","Indonesia","kaliurang, Sleman Yogyakarta","NONE","","","","<Pricillia A.W>","","<30496>"
"Kreativitas dalam Public Relation","Text","kedua","979-741-173-7","Penerbit Erlangga","2001","Referensi","","","Indonesia","jakarta","NONE","","","","<Andy Green>","","<30495>"
"Pedoman Pendidikan Non Perkuliahan Program Sarjana Magang Kerja dan Skripsi Fakultas Pertanian Universitas Brawijaya Tahun Akademik 2014/2015 dan 2015/2016","Text","","","Universitas Brawijaya","2015","Pertanian","","","Indonesia","Malang","NONE","","","","<Prof. Dr. Ir Kuswanto, MS DKK>","","<30493><30494>"
"Pendidikan Seks Bagi Remaja dari Prinsip Ke Praktek","Text","","979-98066-1-x","Alenia Press","2006","Referensi","","","Indonesia","Yogyakarta","NONE","","","","<Michail Reiss, J. Mark Halstead>","","<30492>"
"Mengenal Tumbuh-Tumbuhan Berhasiat Obat","Text","","978-979-8844-62-61","CV.Amalia","2015","Kesehatan","","","Indonesia","jakarta","NONE","","","","<Bung Adriansyah>","","<30490>"
"Ide Jeans nius","Text","","978-979-015-445-2","Penerbit Erlangga","2006","","","","Indonesia","jakarta","NONE","","","","<Bernice Lum>","","<30489>"
"Fisiologi Perilaku Edisi Kesebelas Jilid 1","Text","","978-602-298-009-4","Penerbit Erlangga","2015","","","","Indonesia","jakarta","NONE","","","","<Neil R. Carlson>","","<30488>"
"Tes PsikologirnSejarah, Prinsip, Dan AplikasirnEdisi Keenam Jilid 1","Text","Edisi Keenam 2013","978-602-241-373-8","Penerbit Erlangga","2013","","","","Indonesia","jakarta","NONE","","Tes_Psikologi_Sejarah,_Prinsip,_dan_Aplikasi.jpg.jpg","","<Robert J. Gregory>","","<30487>"
"Gajah Mada Sumpah Di Manguntur","Text","","978-979-084-836-8","Penerbit Tiga Serangkai","2017","Novel","","","Indonesia","Solo","NONE","","","","<Langit Kresna Hariadi>","","<10637><30486>"
"Seri Aku Ingin Menjadi : Arsitek","Text","","978-602-6847-40-9","Esensi Erlangga Group","2017","Referensi","","","Indonesia","jakarta","NONE","","","","<Dewi>","","<30483><30484>"
"Seri Aku Menjadi : Marinir","Text","","978-602-6847-43-0","Esensi Erlangga Group","2017","","","","Indonesia","jakarta","NONE","","","","<Lusiana Rumintang>","","<30481><30482>"
"Seri Aku Ingin Menjadi : TNI AD","Text","","978-602-6847-42-3","Esensi Erlangga Group","2017","Referensi","","","Indonesia","jakarta","NONE","","","","<Irebella>","","<30479><30480>"
"Seri Aku Ingin Menjadi : Penulis","Text","","978-602-6847-37-9","Esensi Erlangga Group","2017","Referensi","","","Indonesia","jakarta","NONE","","","","<Dina Alfiyanti>","","<30477><30478>"
"Seri Aku Ingin Menjadi : Pramugari","Text","","978-602-6847-41-6","Esensi Erlangga Group","2017","Referensi","Seri pengenalan profesi","","Indonesia","jakarta","NONE","","","","<Rizki>","","<30469><30470>"
"Seri Aku Ingin Menjadi : Apoteker","Text","","978-602-6847-38-6","Esensi Erlangga Group","2017","Referensi","","","Indonesia","jakarta","NONE","","","","<Niquen Hananti>","","<30471><30472>"
"Seri Aku Ingin Menjadi : Pengacara","Text","","978-602-6847-39-3","Esensi Erlangga Group","2017","Referensi","","","Indonesia","jakarta","NONE","","","","<Lusiana Rumintang>","","<30473><30474>"
"Seri Aku Ingin Menjadi : TNI AU","Text","","978-602-6847-44-7","Esensi Erlangga Group","2017","Referensi","","","Indonesia","jakarta","NONE","","","","<Irebella>","","<30475><30476>"
"Aku Ingin Menjadi Pemadam Kebakaran","Text","","978-602-7596-59-7","Esensi Erlangga Group","2014","Referensi","pengenalan profesi","","Indonesia","jakarta","NONE","","","","<Dina Alfiyanti>","","<30467><30468>"
"Seri Aku Ingin Menjadi Sutradara","Text","","978-602-6847-36-2","Esensi Erlangga Group","2017","Referensi","","","Indonesia","jakarta","NONE","","","","<Dina Alfiyanti>","","<30465><30466>"
"Prinsip-Prinsip Ekonomi ed. 8 jil. 2","Text","edisi 8 jilid 2","978-979-033-400-7","Penerbit Erlangga","2007","","","","Indonesia","","NONE","","","","<Karl e. Case , Ray C. Fair>","","<30463><30464>"
"Referensi Biologi lengkap Evolusi (Untuk pelajar dan Mahasiswa)","Text","","978-602-434-191-6","Penerbit Erlangga","2014","Biologi","","","Indonesia","jakarta","NONE","","","","<Ernst Klett Verlag GmbH, Stuttgart><Damaring Tyas Wulandari, S.Si>","","<30462>"
"Musim Baru Ketika Kisah Tragis Berganti dengan Kebahagian","Text","","008-813-003-0","Penerbit Erlangga","2012","Novel","","","Indonesia","jakarta","NONE","","","","<Roidah>","","<10504><10510><10511><10512><10513><30460><30461>"
"Rindu Tanah Jeruk: Palestina!","Text","","978-602-70319-4-4","Emir Cakrawala Islam","2014","Novel","","","Indonesia","jakarta","NONE","","","","<M. Thoha Anwar>","","<30458><30459>"
"Sekolah Adiwiyata (Panduan Implementasi Adiwiyata Mandiri di sekolah)","Text","","978-602-6847-70-6","Esensi Erlangga Group","2018","Referensi","","","Indonesia","jakarta","NONE","","","","<Drs. Endang Haris, Drs. H. M. Abas, Yedi Wardiana, M.Pd>","","<30455><30456>"
"Kunang-Kunang dan Bidadari","Text","","978-979-033-266-9","Penerbit Erlangga","2008","Referensi","","","Indonesia","jakarta","NONE","","","","<FLP Jepang>","","<30454>"
"Berkelana ke Timur Tengah","Text","","978-979-033-838-8","Penerbit Erlangga","2009","Referensi","","","Indonesia","jakarta","NONE","","","","<Dede Permana Nugraha>","","<30452><30453>"
"Asmara Di Atas Haram","Text","","978-979-099-835-3","Penerbit Erlangga","2012","Novel","","","Indonesia","jakarta","NONE","","","","<Zulkifli L. Muchdi>","","<30000><30001>"
"Geografi Kelas XII","Text","","978-602-298-897-7","Penerbit Erlangga","2016","","","910. 01 Sin G01/37","Indonesia","jakarta","NONE","","","","<Yasinto Sindhu P.>","","<10824><10825><10826><10827><10828><10829><10830><10831><10832><10833><10834><10835><10836><10837><10838><10839><10840><10841><10842><10843><10844><10845><10846><10847><10848><10849><10850><10851><10852><10853><10854><10855><10856><10857><10858><10859><10860>"
"Sosiologi Kelas XII","Text","","978-602-254-197-4","Penerbit Erlangga","2016","","","300.1 MAR S01/37","Indonesia","jakarta","300","","","","<Kun Maryanti><Juju Suryawati>","","<10787><10788><10789><10790><10791><10792><10793><10794><10795><10796><10797><10798><10799><10800><10801><10802><10803><10804><10805><10806><10807><10808><10809><10810><10811><10812><10813><10814><10815><10816><10817><10818><10819><10820><10821><10822><10823>"
"Ekonomi Kelas XII","Text","","978-602-254-177-6","Penerbit Erlangga","2016","","","330.01 ALA E01/37","Indonesia","jakarta","330","","","","<Alam S.>","","<10861><10862><10863><10864><10865><10866><10867><10868><10869><10870><10871><10872><10873><10874><10875><10876><10877><10878><10879><10880><10881><10882><10883><10884><10885><10886><10887><10888><10889><10890><10891><10892><10893><10894><10895><10896><10897>"
"Menuju Sehat dan Cantik dengan Memanfaatkan Bahan Alami Go Healthy, Go Beautiful","Text","","978-602-6328-17-5","Metagraf Creative Imprint of Tiga Serangai","2016","Kesehatan","","","Indonesia","Solo","NONE","","","","<Winny Widyawati>","","<10653><10654><10898>"
"Pengantar Mateatika Ekonomi Edisi 13 Jilid 2","Text","","978-602-241-750-7","Penerbit Erlangga","2011","","","","Indonesia","jakarta","NONE","","","","<Ernest F. Haeussler, Jr.><Richard S. Paul><Richard J. Wood>","","<10784><10785><10786>"
"Pengantar Matematika Ekonomi Edisi 13 Jiid 1","Text","","978-602-241-645","Penerbit Erlangga","2011","","","","Indonesia","jakarta","NONE","","","","<Ernest F. Haeussler, Jr.><Richard S. Paul><Richard J. Wood>","","<10781><10782><10783>"
"Fisika Prinsip dan Aplikasi Edisi 7 Jilid 1","Text","","978-602-298-188-6","Penerbit Erlangga","2014","","","","Indonesia","jakarta","NONE","","","","<Douglas C.><Giancoli>","","<10778><10779><10780>"
"Statik Untuk Bisnis dan Ekonomi Edisi 11 Jilid 2","Text","","978-602-241-127-7","Penerbit Erlangga","2010","","","","Indonesia","jakarta","NONE","","","","<McClave Benson Sincich>","","<10775><10776><10777>"
"Statik Untuk Bisnis dan Ekonomi Edisi 11 Jilid 1","Text","","978-979-099-018-0","Penerbit Erlangga","2010","","","","Indonesia","jakarta","NONE","","","","<McClave Benson Sincich>","","<10772><10773><10774>"
"Analisis Kimia Kuantitatif Edisi 6","Text","","979-688-241-8","Penerbit Erlangga","2001","","","","Indonesia","jakarta","NONE","","","","<R. A. Day, Jr.><A. L. Underwood>","","<10769><10770><10771>"
"Matematika Pengembangan Pengajar Edisi 6 Jilid 2","Text","","978-979-033-438-0","Penerbit Erlangga","2006","","","","Indonesia","jakarta","NONE","","","","<John A. Vande Walle>","","<10766><10767><10768>"
"Mikroekonomi Edisi 8","Text","","978-602-241-751-4","Penerbit Erlangga","2012","","","","Indonesia","jakarta","NONE","","","","<Robert S. Pindyck><Daniel L. Rubinfeld>","","<10763><10764><10765>"
"Makroekonomi Edisi 6","Text","","978-602-434-230-2","Penerbit Erlangga","2014","","","","Indonesia","jakarta","NONE","","","","<Olivier Blanchard><David R. Johnson>","","<10760><10761><10762>"
"Pembangunan Ekonomi Edisi 11 Jilid 2","Text","","978-602-241-131-4","Penerbit Erlangga","2011","","","","Indonesia","jakarta","NONE","","","","<Michael Todaro><Stephen C. Smith>","","<10757><10758><10759>"
"Pembangunan Ekonomi Edisi 11 Jilid 1","Text","","978-602-241-130-7","Penerbit Erlangga","2011","","","","Indonesia","jakarta","NONE","","","","<Michael Todaro><Stephen C. Smith>","","<10754><10755><10756>"
"Otonomi Daerah Edisi 3","Text","","978-602-298-187-9","Penerbit Erlangga","2014","","","","Indonesia","jakarta","NONE","","","","<Prof. Mudrajad Kuncoro, Ph.D>","","<10751><10752><10753>"
"Sistem Ekonomi Indonesia","Text","","978-602-298-262-3","Penerbit Erlangga","2014","","","","Indonesia","jakarta","NONE","","","","<Munawar Ismail><Dwi Budi Santosa><Ahmad Erani Yustika>","","<10748><10749><10750>"
"Perekonomian Indonesia Pasca Reformasi","Text","","978-602-298-812-0","Penerbit Erlangga","2016","","","","Indonesia","jakarta","NONE","","","","<Amir Machmud>","","<10745><10746><10747>"
"Ekonomi Internasional","Text","","978-602-298-261-6","Penerbit Erlangga","2014","","","","Indonesia","jakarta","NONE","","","","<Mahyus Ekananda>","","<10742><10743><10744>"
"Kimia Dasar Konsep - Konsep Inti Edisi 3 Jilid 1","Text","","979-781-039-9","Penerbit Erlangga","2004","","","","Indonesia","jakarta","NONE","","","","<Raymond Chang>","","<10718><10740><10741>"
"Kimia Dasar Konsep - Konsep Inti Edisi 3 Jilid 2","Text","","979-781-040-2","Penerbit Erlangga","2004","","","","Indonesia","jakarta","NONE","","","","<Raymond Chang>","","<10719><10720><10739>"
"Kimia Dasar Prinsip - Prinsip dan Aplikasi Modern Edisi 9 Jilid 3","Text","","978-602-241-162-8","Penerbit Erlangga","2008","","","","Indonesia","jakarta","NONE","","","","<Petrucci><Harwood><Herring><Madura>","","<10722><10723><10738>"
"Kimia Dasar Prinsip - Prinsip dan Aplikasi Modern Edisi 9 Jilid 1","Text","","978-979-075-889-6","Penerbit Erlangga","2008","","","","Indonesia","jakarta","NONE","","","","<Petrucci><Harwood><Herring><Madura>","","<10721><10736><10737>"
"Fisika Prinsip dan Aplikasi Edisi 7 Jilid 2","Text","","978-602-298-433-7","Penerbit Erlangga","2014","","","","Indonesia","jakarta","NONE","","","","<Douglas C.><Giancoli>","","<10724><10725><10735>"
"Fisika Dasar, Edisi 7 Jilid 1","Text","","978-979-099-327-3","Penerbit Erlangga","2010","","","","Indonesia","jakarta","NONE","","","","<David Halliday><Robert Resnick><Jearl Walker>","","<10726><10727><10734>"
"Fisika Dasar Edisi 7 Jilid 3","Text","","978-602-241-736-1","Penerbit Erlangga","2010","","","","Indonesia","jakarta","NONE","","","","<David Halliday><Robert Resnick><Jearl Walker>","","<10731><10732><10733>"
"Fisika Dasar Edisi 7 Jilid 2","Text","","978-602-241-595-4","Penerbit Erlangga","2010","","","","Indonesia","jakarta","NONE","","","","<David Halliday><Robert Resnick><Jearl Walker>","","<10728><10729><10730>"
"Berpikir Matematis","Text","","978-602-298-279-1","Penerbit Erlangga","2015","","","","Indonesia","jakarta","NONE","","","","<Wono Setya Budhi><Bana G. Kartasasmita>","","<10715><10716><10717>"
"Koperasi dan Umkm","Text","","978-602-434-231-9","Penerbit Erlangga","2017","","","","Indonesia","jakarta","NONE","","","","<M. AZrul Tanjung>","","<10712><10713><10714>"
"Kalkulus Edisi 13 Jilid 1","Text","","978-602-434-389-7","Penerbit Erlangga","2014","","","","Indonesia","jakarta","NONE","","","","<George B. Thomas, Jr><Maurice D.. Weir><Joel Hass><Christopher Heil>","","<10710><10711>"
"Kalkulus Edisi 9 Jilid 1","Text","","978-979-033-973-8","Penerbit Erlangga","2010","","","","Indonesia","jakarta","NONE","","","","<purcell><Rigdon><Varberg>","","<10704><10705><10706>"
"Kalkulus Edisi 9 Jilid 2","Text","","978-979-099-154-5","Penerbit Erlangga","2011","","","","Indonesia","jakarta","NONE","","","","<purcell><Rigdon><Varberg>","","<10707><10708><10709>"
"Schaum's Kalkulus Lanjutan Edisi 2","Text","","978-979-015-673-9","Penerbit Erlangga","2006","","","","Indonesia","jakarta","NONE","","","","<Robert Wrede, Ph.D.><Murray R. Spiegel, Ph.D.>","","<10701><10702><10703>"
"Schaum's Kalkulus Edisi 4","Text","","979-781-367-3","Penerbit Erlangga","2004","","","","Indonesia","jakarta","NONE","","","","<Frank Ayres,Jr., Ph.D><Elliot Mendelson, Ph.D>","","<10698><10699><10700>"
"Schaum's TTS Fisika Modern Edisi 2","Text","","979-781-824-1","Penerbit Erlangga","2006","","","","Indonesia","jakarta","NONE","","","","<Ronald Gautreau, Ph.D><William Savin, Ph.D>","","<10695><10696><10697>"
"Biologi Edisi 2","Text","","979-781-713-X","Penerbit Erlangga","2006","","","","Indonesia","jakarta","NONE","","","","<George H. Fried, Ph.D.><George J.Hademenos, Ph.D.>","","<10694>"
"Ilmu Bumi","Text","","978-602-434-434-4","Penerbit Erlangga","2015","","","","Indonesia","jakarta","NONE","","","","<Edward J. Tarbuck><Frederick K. Lutgens>","","<10690><10691><10692>"
"Jejak Langkah Pak Harto","Text","","979-8085-09-4","PT. Citra Lamtogo Gung Persada","1993","Biografi","","","Indonesia","jakarta","NONE","","","","","","<10689>"
"Jejak Langkah Pak Harto 28 Maret 1968 - 23 Maret 1973","Text","","979-8085-04-3","PT. Citra Lamtogo Gung Persada","1991","Biografi","","","Indonesia","jakarta","NONE","","","","","","<10685><10688>"
"Jejak Langkah Pak Harto 16 Maret 1983 - 11 Maret 1988","Text","","979-8085-13-2","PT. Citra Lamtogo Gung Persada","1993","Biografi","","","Indonesia","jakarta","NONE","","","","","","<10687>"
"Jejak Langkah Pak Harto 27 Maret 1973 - 23 Maret 1978","Text","","979-8085-07-8","PT. Citra Lamtogo Gung Persada","1993","Biografi","","","Indonesia","jakarta","NONE","","","","","","<10686>"
"Siti Hartinah Soeharto Ibu Utama Indonesia","Text","","979-8085-12-4","PT. Citra Lamtogo Gung Persada","1993","Biografi","","","Indonesia","jakarta","NONE","","","","<Abdul Gafur>","","<10684>"
"Menjelajah Dunia, Mendidik Indonesia","Text","","978-602-6328-39-7","Metagraf Creative Imprint of Tiga Serangai","2017","Inspirasi","","","Indonesia","Solo","NONE","","","","<Rus>","","<10679><10680><10681>"
"Jokowi Memimpin Kota Menyentuh Jakarta","Text","","978-602-9212-50-1","Metagraf Creative Imprint of Tiga Serangai","2014","Biografi","","","Indonesia","Solo","NONE","","","","<Alberthiene Endah>","","<10676><10677><10678>"
"Building a Meaningbul Startup","Text","","978-602-6328-00-7","Metagraf Creative Imprint of Tiga Serangai","2016","Inspirasi","","","Indonesia","Solo","NONE","","","","<Brilliant Yotenega>","","<10674><10675>"
"Arief Rahman Guru","Text","","978-602-7596-99-3","Penerbit Erlangga","2015","Biografi","","","Indonesia","jakarta","NONE","","","","<Ukim Komarudin>","","<10669><10670><10671><10672><10673>"
"Andi Oktavian Latief sang Fenomena dari Pamekasan Madura","Text","","","","","Biografi","","","Indonesia","Pamekasan,Madura","NONE","","","","<Budi Waluyo><Sunarno>","","<10661><10662><10663><10664><10665><10666><10667><10668>"
"Hiasan Unik dan Asyik Potong, Lipat, Lalu Pasang!","Text","","978-979-045-803-1","Tiga Ananda Creative Imprint of Tiga Serangkai","2014","Keterampilan","","","Indonesia","Solo","NONE","","","","","","<10658><10659><10660>"
"Kupas Tuntas Obesitas","Text","","978-602-6328-30-4","Metagraf Creative Imprint of Tiga Serangai","2017","Kesehatan","","","Indonesia","Solo","NONE","","","","<dr. Nadjibah Yahya, Dipl. CIBTAC>","","<10655><10656><10657>"
"How To Become A Great Freshgraduate","Text","","978-602-257-382-1","Metagraf Creative Imprint of Tiga Serangai","2014","Karir","","","Indonesia","Solo","NONE","","","","<Ardiningtiyas Pitaloka>","","<10650><10651><10652>"
"20 Quetes Rasullullah","Text","","978-602-366-153-4","Tiga Ananda Creative Imprint of Tiga Serangkai","2016","Religi","","","Indonesia","Solo","NONE","","","","<Tethy Ezokanzo>","","<10648>"
"Anak Sehat 100 Solusi dr. Tiwi Panduan Lengkap Kesehatan Bayi 0-24 Bulan","Text","","978-979-099-614-4","Penerbit Erlangga","2011","Kesehatan","","","Indonesia","jakarta","NONE","","","","<dr. I Gusti Ayu Nyoman Partiwi, SpAMARS>","","<10647>"
"Curie & Radioaktivitas","Text","","979-688-476-3","Penerbit Erlangga","2001","Biografi","","","Indonesia","jakarta","NONE","","","","<Paul Strarhern>","","<10645>"
"One Fine Day","Text","","978-979-099-042-5","Penerbit Erlangga","2007","komik","","","Indonesia","jakarta","NONE","","","","<Damaring Tyas W.>","","<10644>"
"Gajah Muda Makar Dharmaputra","Text","","978-979-084-834-4","Penerbit Tiga Serangkai","2017","Novel","","","Indonesia","Solo","NONE","","","","<Langit Kresna Hariadi>","","<10640><10641><10642>"
"Gajah Mada Hamukti Moksa","Text","","978-979-084-838-2","Penerbit Tiga Serangkai","2017","Novel","","","Indonesia","Solo","NONE","","","","<Langit Kresna Hariadi>","","<10638><10639>"
"Gajah Mada Sanga Turnangga Paksowani","Text","","978-979-084-837-5","Penerbit Tiga Serangkai","2017","Novel","","","Indonesia","Solo","NONE","","","","<Langit Kresna Hariadi>","","<10635><10636>"
"Gajah Mada Takhta Dan Angkara","Text","","978-979-084-835-1","Penerbit Tiga Serangkai","2017","Novel","","","Indonesia","Solo","NONE","","","","<Langit Kresna>","","<10633><10634>"
"Rahasia Sang Ibu Negara","Text","","978-979-099-874-2","Penerbit Erlangga","2010","Novel","","","Indonesia","jakarta","NONE","","","","<Curtis Sittenfeld>","","<10627><10628><10629><10630><10631><10632>"
"Kemuning Jaddah","Text","","978-602-70319-2-0","Penerbit Erlangga","2014","Novel","","","Indonesia","jakarta","NONE","","","","<Endri K.>","","<10616><10617><10618><10619><10620><10621><10622><10623><10624><10625><10626>"
"Komedi ala Persia","Text","","978-979-075-370-9","Penerbit Erlangga","2009","Novel","","","Indonesia","jakarta","NONE","","","","<Firoozeh Dumas>","","<10598><10599><10600><105601><10602><10604><10605><10606><10607><10608><10609><10610><10611><10612><10613><10603>"
"Cerita Dalam Kehendak","Text","","978-979-033-450-2","Penerbit Erlangga","2008","Novel","","","Indonesia","jakarta","NONE","","","","<Zara Zettira ZR>","","<10592><10593><10594><10595><10596><10597>"
"The 22 Folktales Of Bumi Etam East Kalimantan","Text","","978-602-9022-001","","","","","","Indonesia","Bekasi","NONE","","","","<Pardi Suratno><Johansyah Balham>","","<10581>"
"Si Peramal Cinta","Text","","978-602-7596-18-4","Penerbit Erlangga","2012","","","","Indonesia","jakarta","NONE","","","","<Allison Van Diepen>","","<10580>"
"Seri Literasi Remaja: Kisah Ramayana","Text","","978-602-6847-05-8","Penerbit Erlangga","2016","","","","Indonesia","jakarta","NONE","","","","<B. Suryosubroto>","","<10579>"
"Supinah","Text","","979-407-583-3","Balai Pustaka","2001","","","","Indonesia","jakarta","NONE","","","","<Bagin>","","<10578>"
"Taman Sunyi Sekala","Text","","979-33-0301-8","Penerbit Tiga Serangkai","2006","Novel","","","Indonesia","jakarta","NONE","","","","<Aida Vyansa>","","<10577>"
"Atheis Roman","Text","","979-407-185-4","Balai Pustaka","2002","Novel","","","Indonesia","jakarta","NONE","","","","<Achdiat K. Mihardja>","","<10576>"
"Karena Mertua","Text","","979-666-176-4","Balai Pustaka","2001","Novel","","","Indonesia","jakarta","NONE","","","","<Nur Sutan Iskandar>","","<10575>"
"Azab dan Sengsara","Text","","979-407-168-4","Balai Pustaka","","Novel","","","Indonesia","","NONE","","","","<Merari Siregar>","","<10574>"
"Rahasia Rumah Terpencil","Text","","","Penerbit CV Lestari Bandung","2006","","","","Indonesia","Bandung","NONE","","","","<S. Sanibar>","","<10571>"
"Hujan Kepagian","Text","","979-407-097-1","Balai Pustaka","1995","cerpen","","","Indonesia","jakarta","NONE","","","","<Nugroho Notosusanto>","","<10569>"
"Layar Terkambang","Text","","979-407-065-3","Balai Pustaka","2002","","","","Indonesia","jakarta","NONE","","","","<St. Takdir Alisjahbana>","","<10567>"
"Abu Ubaidah bin Jarrah Sang Kepercayaan Umat Dan Penakluk Negeri Syam","Text","Cetakan Pertama: Juli 2017","978-602-0894-71-3","Tinta Medina, Creative Imprint of Tiga Serangkai","2017","","","","Indonesia","Solo","NONE","","Abu_Ubaidah_bin_Jarrah_Sang_Kepercayaan_Umat_Dan_Penakluk_Negeri_Syam.jpg.jpg","","<Muhammad bin Muhammad Hasan Syurrab>","","<10152><10153><10154>"
"Menggali Kemaslahatan","Text","","","PT Prapen Wiyata","2000","Novel","","","Indonesia","Surabaya","NONE","","","","<Fitri Nisa>","","<10566>"
"Siapakah John F. Kennedy","Text","","979-759-7998-9","Penerbit PT Grasindo","2008","Novel","","","Indonesia","jakarta","NONE","","","","<Yona Zeldis McDonough>","","<10565>"
"Siapakah Wolfgang Amadues Mozart?","Text","","979-732-418-4","Penerbit PT Grasindo","2008","Novel","","","Indonesia","jakarta","NONE","","","","<Yona Zeldis McDonough>","","<10564>"
"Novel Pangeran Diponegoro Menggagas Ratu Adil","Text","","978-979-018-064-2","Penerbit Tiga Serangkai","Solo","Novel","","","Indonesia","2007","NONE","","","","<Remy Sylado>","","<10563>"
"ORB","Text","","978-979-045-111-7","Penerbit Tiga Serangkai","2008","Novel","","","Indonesia","Solo","NONE","","","","<Galang Lufityanto>","","<10562>"
